    PID TTY          TIME CMD
   1594 ?        00:00:00 xdg-permission-
   1606 ?        00:00:00 fusermount3
   1622 ?        00:00:02 tracker-miner-f
   1630 ?        00:00:00 krfcommd
   1634 ?        00:00:00 gvfs-udisks2-vo
   1639 ?        00:00:00 gvfs-mtp-volume
   1643 ?        00:00:00 gvfs-goa-volume
   1647 ?        00:00:00 goa-daemon
   1654 ?        00:00:00 goa-identity-se
   1656 ?        00:00:00 gvfs-afc-volume
   1664 ?        00:00:00 gvfs-gphoto2-vo
   1672 tty2     00:00:00 gdm-wayland-ses
   1678 tty2     00:00:00 gnome-session-b
   1724 ?        00:00:00 gnome-session-c
   1737 ?        00:00:00 gnome-session-b
   1755 ?        00:00:00 at-spi-bus-laun
   1759 ?        00:03:34 gnome-shell
   1767 ?        00:00:00 dbus-daemon
   1840 ?        00:00:00 gnome-shell-cal
   1846 ?        00:00:00 evolution-sourc
   1854 ?        00:00:00 evolution-calen
   1862 ?        00:00:00 dconf-service
   1868 ?        00:00:00 evolution-addre
   1882 ?        00:00:00 gvfsd-trash
   1892 ?        00:00:00 gjs
   1895 ?        00:00:00 at-spi2-registr
   1912 ?        00:00:00 sh
   1913 ?        00:00:00 gsd-a11y-settin
   1915 ?        00:00:37 ibus-daemon
   1916 ?        00:00:00 gsd-color
   1918 ?        00:00:00 gsd-datetime
   1921 ?        00:00:00 gsd-housekeepin
   1922 ?        00:00:00 gsd-keyboard
   1925 ?        00:00:00 gsd-media-keys
   1930 ?        00:00:00 gsd-power
   1934 ?        00:00:00 gsd-print-notif
   1935 ?        00:00:00 gsd-rfkill
   1936 ?        00:00:00 gsd-screensaver
   1937 ?        00:00:00 gsd-sharing
   1938 ?        00:00:00 gsd-smartcard
   1939 ?        00:00:00 gsd-sound
   1942 ?        00:00:00 gsd-wacom
   1983 ?        00:00:00 evolution-alarm
   1989 ?        00:00:00 gsd-disk-utilit
   2001 ?        00:00:00 ibus-memconf
   2027 ?        00:00:05 ibus-extension-
   2033 ?        00:00:00 ibus-portal
   2071 ?        00:00:14 ibus-engine-sim
   2075 ?        00:00:00 gsd-printer
   2101 ?        00:00:00 xdg-desktop-por
   2105 ?        00:00:00 xdg-desktop-por
   2128 ?        00:00:00 gjs
   2146 ?        00:00:00 xdg-desktop-por
   2176 ?        00:00:00 gvfsd-metadata
   2187 ?        00:00:00 snapd-desktop-i
   2263 ?        00:00:00 snapd-desktop-i
   2381 ?        00:00:27 Xwayland
   2400 ?        00:00:00 gsd-xsettings
   2431 ?        00:00:00 ibus-x11
   2583 ?        00:00:00 snap
   3159 ?        00:00:00 update-notifier
   3601 ?        00:00:01 fwupd
   3640 ?        00:00:00 gnome-terminal
   3643 ?        00:00:00 gnome-terminal.
   3648 ?        00:00:52 gnome-terminal-
   3666 pts/0    00:00:00 bash
   3983 ?        00:02:37 firefox
   4144 ?        00:00:00 Socket Process
   4166 ?        00:00:01 Privileged Cont
   4335 ?        00:00:00 WebExtensions
   4612 ?        00:00:25 Isolated Web Co
   4616 ?        00:00:16 Isolated Web Co
   4711 ?        00:02:33 Isolated Web Co
   4757 ?        00:00:22 RDD Process
   4759 ?        00:00:00 Utility Process
   6912 ?        00:00:00 mount.ntfs
   6927 ?        00:00:06 nautilus
   9813 ?        00:00:00 systemd-resolve
   9815 ?        00:00:00 systemd-journal
   9895 ?        00:00:00 systemd-timesyn
   9935 ?        00:00:00 systemd-udevd
  10001 ?        00:00:10 systemd-oomd
  26281 ?        00:00:00 xfsalloc
  26282 ?        00:00:00 xfs_mru_cache
  26285 ?        00:00:00 jfsIO
  26286 ?        00:00:00 jfsCommit
  26287 ?        00:00:00 jfsCommit
  26288 ?        00:00:00 jfsCommit
  26289 ?        00:00:00 jfsCommit
  26290 ?        00:00:00 jfsCommit
  26291 ?        00:00:00 jfsCommit
  26292 ?        00:00:00 jfsCommit
  26293 ?        00:00:00 jfsCommit
  26294 ?        00:00:00 jfsSync
  31193 ?        00:00:00 cupsd
  32942 ?        00:00:00 snapd
  33603 ?        00:00:00 avahi-daemon
  33604 ?        00:00:00 avahi-daemon
  40339 ?        00:00:00 cups-browsed
  76996 ?        00:00:00 accounts-daemon
  93066 ?        00:00:32 gitkraken
  93070 ?        00:00:00 gitkraken
  93071 ?        00:00:00 gitkraken
  93073 ?        00:00:00 gitkraken
  93096 ?        00:00:12 gitkraken
  93124 ?        00:00:00 chrome_crashpad
  93140 ?        00:00:02 gitkraken
  93184 ?        00:00:00 gitkraken
  93206 ?        00:01:24 gitkraken
  93284 ?        00:00:01 gitkraken
  93457 ?        00:00:00 gvfsd-network
  93477 ?        00:00:00 gvfsd-dnssd
  93554 ?        00:00:00 node-spawn-serv
  94090 ?        00:00:02 kworker/u17:1-i915_flip
  94386 ?        00:00:04 MainThread
  94681 ?        00:00:00 dbus
  96528 ?        00:00:00 kworker/u16:1-events_unbound
  96692 ?        00:00:00 kworker/u17:0-rb_allocator
  98775 ?        00:00:00 node-spawn-serv
  99068 ?        00:00:00 kworker/6:0-events
  99116 ?        00:00:00 kworker/u16:0-events_unbound
  99123 ?        00:00:00 kworker/1:0-mm_percpu_wq
  99195 pts/1    00:00:00 bash
  99657 ?        00:00:00 kworker/3:2-events
  99740 ?        00:00:00 kworker/5:2-events
  99790 ?        00:00:00 kworker/6:2-pm
  99855 ?        00:00:00 kworker/2:2-mm_percpu_wq
  99909 ?        00:00:00 kworker/4:0-events
  99934 ?        00:00:00 kworker/0:2-events
